Original Interest Rate_mean,Original Interest Rate_q25,Original Interest Rate_q75,Original Interest Rate_min,Original Interest Rate_max,Current Interest Rate_mean,Current Interest Rate_q25,Current Interest Rate_q75,Current Interest Rate_min,Current Interest Rate_max,Original UPB_mean,Original UPB_q25,Original UPB_q75,Original UPB_min,Original UPB_max,Debt-To-Income (DTI)_mean,Debt-To-Income (DTI)_q25,Debt-To-Income (DTI)_q75,Debt-To-Income (DTI)_min,Debt-To-Income (DTI)_max,Borrower Credit Score at Origination_mean,Borrower Credit Score at Origination_q25,Borrower Credit Score at Origination_q75,Borrower Credit Score at Origination_min,Borrower Credit Score at Origination_max,Co-Borrower Credit Score at Origination_mean,Co-Borrower Credit Score at Origination_q25,Co-Borrower Credit Score at Origination_q75,Co-Borrower Credit Score at Origination_min,Co-Borrower Credit Score at Origination_max,Loan Age_mean,Loan Age_q25,Loan Age_q75,Loan Age_min,Loan Age_max,Original Loan to Value Ratio (LTV)_mean,Original Loan to Value Ratio (LTV)_q25,Original Loan to Value Ratio (LTV)_q75,Original Loan to Value Ratio (LTV)_min,Original Loan to Value Ratio (LTV)_max,Original Combined Loan to Value Ratio (CLTV)_mean,Original Combined Loan to Value Ratio (CLTV)_q25,Original Combined Loan to Value Ratio (CLTV)_q75,Original Combined Loan to Value Ratio (CLTV)_min,Original Combined Loan to Value Ratio (CLTV)_max,Original Loan Term_mean,Original Loan Term_q25,Original Loan Term_q75,Original Loan Term_min,Original Loan Term_max,Mortgage Insurance Percentage_mean,Mortgage Insurance Percentage_q25,Mortgage Insurance Percentage_q75,Mortgage Insurance Percentage_min,Mortgage Insurance Percentage_max,Number of Borrowers_mean,Number of Borrowers_q25,Number of Borrowers_q75,Number of Borrowers_min,Number of Borrowers_max,Occupancy Status_P_rate,Occupancy Status_I_rate,Occupancy Status_S_rate,Property Type_SF_rate,Property Type_CO_rate,Property Type_CP_rate,Property Type_PU_rate,Property Type_MH_rate,Loan Purpose_P_rate,Loan Purpose_C_rate,Loan Purpose_R_rate,Amortization Type_FRM_rate,Amortization Type_ARM_rate,Interest Only Loan Indicator_Y_rate,Interest Only Loan Indicator_N_rate,Prepayment Penalty Indicator_Y_rate,Prepayment Penalty Indicator_N_rate,First Time Home Buyer Indicator_Y_rate,First Time Home Buyer Indicator_N_rate,loan_count,total_current_upb,total_original_upb,total_sched_principal,total_unsched_principal,total_principal,lp_empty_ratio,lp_all00_ratio,lp_end00_ratio,lp_end_not00_ratio,lp_has_02plus_ratio,lp_nonzero_count_mean,P_0_30,P_31_60,P_61_90,P_90plus,Pool,Month,Deal_Type,Deal_Number,Group,Deal_Year
3.8862495,3.625,4.0,2.75,6.375,3.8571765,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,115.97645,115.0,117.0,114.0,120.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4931992600.0,27433286000.0,16266344.0,56576080.0,72848024.0,0.7235492,0.25889963,0.27469656,0.0017542306,0.006210685,0.0596084,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_062022,2022-06,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8549912,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,127.97189,127.0,129.0,126.0,132.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4387815400.0,27433286000.0,14211695.0,20119148.0,34303436.0,0.74531764,0.24344821,0.25283954,0.001842828,0.0018605476,0.035837688,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_062023,2023-06,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8566978,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,116.97539,116.0,118.0,115.0,121.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4867677700.0,27433286000.0,15436767.0,48770212.0,64314676.0,0.72641975,0.25699478,0.2719589,0.0016213342,0.005776557,0.05416851,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_072022,2022-07,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.855054,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,128.97226,128.0,130.0,127.0,133.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4348391400.0,27433286000.0,15639930.0,23673806.0,39423724.0,0.74673516,0.24220785,0.25176752,0.0014972978,0.00177195,0.034889694,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_072023,2023-07,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8565092,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,117.97459,117.0,119.0,116.0,122.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4804872700.0,27433286000.0,15684753.0,47120510.0,62805264.0,0.72913975,0.25540888,0.26891112,0.001949145,0.0047045276,0.05005759,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_082022,2022-08,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8545568,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,129.97133,129.0,131.0,128.0,134.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4305351700.0,27433286000.0,15711602.0,27226374.0,43039896.0,0.7484363,0.24053335,0.24988925,0.0016744927,0.0018162488,0.034561884,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_082023,2023-08,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8565361,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,118.974525,118.0,120.0,117.0,123.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4749615600.0,27433286000.0,15424467.0,39687704.0,55257130.0,0.7314964,0.2537964,0.26671392,0.0017896695,0.0040754853,0.046363074,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_092022,2022-09,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.854379,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,130.97142,130.0,132.0,129.0,135.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4268123400.0,27433286000.0,14647186.0,22497262.0,37228252.0,0.7497918,0.23921326,0.24855143,0.0016567733,0.0018516878,0.03429609,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_092023,2023-09,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8564243,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,119.97398,119.0,121.0,118.0,124.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4697703400.0,27433286000.0,15788341.0,35917840.0,51912210.0,0.7336759,0.25275096,0.2648268,0.0014972978,0.003260388,0.04365199,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_102022,2022-10,C,01,G1,2013
3.8862495,3.625,4.0,2.75,6.375,3.8544018,3.625,4.0,2.75,6.125,243052.05,141000.0,329000.0,9000.0,1100000.0,31.6097,24.0,40.0,1.0,51.0,768.2203,748.0,797.0,620.0,837.0,773.9994,758.0,800.0,620.0,834.0,131.97047,131.0,133.0,130.0,136.0,75.24939,72.0,80.0,51.0,86.0,76.005646,73.0,80.0,51.0,97.0,359.9047,360.0,360.0,304.0,360.0,25.0,25.0,25.0,25.0,25.0,1.561026,1.0,2.0,1.0,8.0,0.81750685,0.123983346,0.05850979,0.64157,0.09903429,0.0057676975,0.25076637,0.0028616993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.12931691,0.8706831,112870.0,4227400400.0,27433286000.0,15160500.0,25542434.0,40722960.0,0.7515283,0.23750332,0.24702756,0.0014441393,0.0017985293,0.0340303,1.0,0.0,0.0,0.0,CAS_2013-C01_G1_102023,2023-10,C,01,G1,2013
